Column1;Column2;Column3
Maria Husnun Nisa;4 months ago;The rides are really cool, it's not a waste of time to walk (because of the bad traffic jams) the place is satisfying and has lots of rides. Starting from the animal museum to the Batu Secret Zoo. 3 hours doesn't feel like it, it's still not enough to go around everything
Nandyan Ayu;5 months ago;It's cheaper if you buy a season ticket (4 locations). Can be explored from morning until closing provided it doesn't rain. Because the 2 locations are outdoor (zoo and eco green park). Worth to try. Not only suitable for children, but also adults. It's just that there are no restaurants on site/that can be reached on foot.
herue christian;3 months ago;There are lots of animals that we have never seen before, finally we can find out about them after visiting here, the education for children is really really good, but you have to be strong enough to walk long distances 😆, the rest place is …
Kezia Zevanya Angela;3 days ago;"Very cool zoo & playground
Come & see for yourself the difference from other places"
Gery Si Kucing Termenggg;3 months ago;"The best zoo in Indonesia, original.
Many of the animal collections are rare, and are truly the first in Indonesia.
Without the really beautiful ENCLOSURE arrangement, it feels like a Zoo-Zoo in Europe/America"
Alya Devia Mufidah;3 months ago;"It's so exciting, my feet are so sore🤣 I guarantee you won't feel like you're about to close.
Ticket 140 (eco green, animal museum, sweet memories, batu secret zoo) …"
Winda S Fitri;3 months ago;If you want to buy tickets, it's better to go through Traveloka, several times offering price discounts. …
kirana;3 months ago;Worth it, pay 115K to go to the animal museum, Batu Secret Zoo, inside there is a children's play area, the food court is relatively cheap compared to other famous tourist attractions.
Tak ada Nama;5 months ago;the place is not bad, the entrance ticket is 145k, for groups of 115k, the swimming pool is for small children, if you want to swim you have to wear a swimsuit, you can bring snacks but you can't bring rice or noodles, feed the animals, pay 10k to buy the food...
Heri Nugie;3 months ago;Fun and memorable holiday....2 days in Batu Malang...main destination of Jatim Park 2...kids really like it...recommended home stay...very close to Jatim Park 2....8-9 feb 2024 very good holiday..
Suzan P;3 weeks ago;Second time visiting here. Worth the price. The place is very spacious, but sometimes it is too crowded with visitors, so some animals may feel uncomfortable. There were several animals walking back and forth (perhaps due to stress from …
Karima Gemalasari;2 months ago;It's good for education, but unfortunately on weekdays it gets really busy so you have to be careful if you have small children so they don't get lost, also during the rainy season it rains there so a lot of the rides are closed
khusnul khitom17;5 months ago;MasyaAllah, it's very spacious, be prepared for a long road, but electric bicycle rental is also provided.
Lesie Dwi Molita;3 months ago;Thank God you can come here from Bandar Lampung. Looks like exploring JTP 2 will take until evening😅 Around 2pm it was raining really hard and not everything had been explored yet. Hopefully I can come here again. And hopefully the input …
Syela maya;5 months ago;"East Java Park 2
1. The place is very spacious. It is recommended that you wear shoes if you enter here or wear comfortable footwear …"
Muhammad Nugraha;3 months ago;A place to play and learn by directly seeing the animals, the zoo collection is complete, the facilities inside are also complete, clean, the price is according to what we get...
daffaamru;4 months ago;Very recommended, for those who want to refresh and animal lovers, this is an excellent place. Arrived at 12:30 in the afternoon so I had to wait half an hour because I wanted to get in at 1 pm. The animals are healthy, a lot of species to …
Helmi Huang;6 months ago;The area of ​​East Java Park 2 is quite large, you need at least half a day or more to be satisfied exploring this attraction, from the zoo, museum to eco green park. …
Dina Pramalina;4 months ago;We visited Jatim Park 2, 27 December 2023. We arrived at the location at 9.00 and the queue for tickets was already quite large. Since we use a BCA card for purchases. So there is a special counter and there are not many queues. …
Cahaya Abadi;3 months ago;Jatim park 2 very good👍very complete, I like the eco journey, the upside down house and what I like the most is the new ride, namely the drive thru park which presents 17 thematic areas...a really good combination...the first in Indonesia and in the world😘 Hopefully Jatimpark 2 will be even more advanced💪👍😊 …
putri arista;3 months ago;So excited.. First time here😁 it started with animal treats that I've never seen before😍 I don't regret coming here, especially seeing Ningsih's performance 😆😂 really entertained 💕 …
Efita Dian Fitriyah;5 months ago;You won't get bored if you play here.. The place is spacious, you are guaranteed to be satisfied all day here.. You can see various kinds of wild animals, reptiles, sea animals, etc.. There is a large play area, there is a swimming pool, …
Wirastuti Rachmawati;4 months ago;When I came here...I went with the drive thru, so I didn't get tired...walking while looking at the animals in the car...drive thru ticket 100 thousand...had to use an automatic car. The downside is that some of the animals don't look after …
Almas Fairuza;4 months ago;Wow, really happy. Very complete. It's there to have fun, it's also there to increase your knowledge. It's really suitable for those who like animals. Don't know about the others. But as for me, I really like it. Seeing various types of animals from all over the world, I don't know why I'm so happy
amalia artati;4 months ago;Close to Surabaya. Competitive room rates per night. Get breakfast and dinner. Free Drive Thru entry ticket for 30 minutes to see rides and animals without getting tired. Every morning and evening in the middle of eating there is an animal …
Sasiya Arta Grennanda;4 months ago;Very excited, finally came here even though it was during the rainy season, the queue for tickets was really great, suitable for traveling with children to fill the holidays🥰 …
Deni Saputro;4 months ago;A suitable vacation spot for children and families. From the outside, the zoo looks small, but when you get inside it turns out to be really big, you get tired walking around it. Lots of rides and animals.
Anis Sweet;4 months ago;Very satisfied to be able to enter Jatim Park 2. The place is very clean and very spacious. Very suitable for family recreation, especially bringing children.
Moedjiati Keren;3 months ago;Very fun and tiring. It's ok satisfied. Moreover, now there are educational shows about protecting animals and nature, especially forests. Suitable for educational tourism
Bayu Gunawan;3 months ago;One of the educational recreation places offered by the Jatim Park Group. Facilities, cleanliness, rides, parking lots and clean toilets are commensurate with the quality of entertainment and services provided
Ayu Nanda;6 months ago;Nice place, clean, lots of animals suitable for children's education. There are also super complete playgrounds for everyone from children to adults. There is a swimming pool for children. The place is very clean and comfortable. The ticket …
dewi apriliana;4 months ago;The area is very wide. There is an Eco Green Park, Rimba Pet Hall, Batu Secret Zoo, animal museum, several rides and a selfie photo area. In Jatim Park 2, the excitement of observing the animal collection dominates. Must be super fit to …
Danis Maulana;5 months ago;entrance ticket 120 thousand, you get the zoo as well as the safari plus a bonus animal museum package. Unfortunately, those who don't take the package can only enter at 1 pm. That's a very unsatisfying time to go around everything
Nurul Fauziyah;6 months ago;I really enjoyed vacationing here with my husband. Coincidentally, I stayed at the Tree Inn too, so I could explore the zoo, animal museum and selfie spot for 2 days. So the first day focused on exo green park. You can feed the animals and …
Dhanial Multazam;6 months ago;Tourism on the rock is suitable for all ages. The place is clean. Many various types of animals with neat arrangements. Apart from seeing the animals, there are fun rides and rides that are free because they are included in the entrance …
Yuanita Rachman;4 months ago;In Jatim Park 2 there are the Batu Secret Zoo rides and the Animal Museum. At the animal museum, see preserved animals, at the Secret Zoo, see live versions of animals with various themes and fantasy lands for various games. There is a …
E 11;3 months ago;A good and quite complete recreation area, tickets are not too expensive because you can go to the secret zoo and museum and ride fees. Now it's also easier to buy tickets on the spot
Vina Giovani;4 months ago;The place is nice, the children are very happy, maintenance is needed for the playground so that safety is maintained. However, the food court needs to provide healthy food, mostly frozen and ready-to-eat food.
boge lukman;4 months ago;A very memorable experience when visiting East Java Park 2. Highly recommended for family holidays. Not just a holiday, but also an educational tour too
Nana Ley wijaya;3 months ago;When I got there, it was full of queues, it was really hot and the place was so full that there was no place to sit. All the rides were full of crowded queues, the children's pool was full... there were several rides that were damaged and …
S karin;4 months ago;Come here as Christmas approaches. Buy tickets on Traveloka but when you get there you still queue at the counter. If you have to queue manually again, I suggest opening 2 counters straight away because yesterday the queue was very long …
Oktavia Ningsih;3 weeks ago;Really good... The place is really great, we entered at 10 and finished at 5 in the afternoon🤣 …
Nana Diana;5 months ago;"Nice place....
Lots of rides...
Friendly service ... …"
Agung Bjn;4 months ago;"family vacation rides
Prices depend on the quality of the vehicle
plus the cool atmosphere of Batu City …"
Yohna fortinatus;4 months ago;"Complete entertainment venue
Very spacious
Walk to Gempor around here …"
R A Koesoemo Roekmi;a month ago;Fun tourist spot for children. There is a zoo and children's games. There is a swimming pool too. You can play here all day
Nursurya Negara;5 months ago;The view is good with a mountain view, the air is cool, the rooms are clean with friendly service, there is a zoo and museum for educational tourism, really good place,👍👍👍 …
Nancy Anzha Lika;4 months ago;Coming here at the end of the year was busy because there were season tickets and I wasn't satisfied because it rained for 2 hours so I didn't have time to get into ECO green etc. It was early Maghrib. Advice: If you want to go on holiday here, check Google's weather forecast first so you can enjoy it without rain ❤️
Adam Septian;4 months ago;"If it's the holiday season, it's recommended to arrive before 10:30, because it's very difficult to find parking.
Buying tickets online can save queue time!"
Afan Kayla;4 months ago;"Very suitable for children's tourism, there is education and recreation
There is already a swimming pool and quite a lot of games... complete
HTM during high season canal 170k (canal + ecogreenpark) If only Jatimpark 2 is …"
darma Permadi;5 months ago;The right place to take children on holiday. There are more and more gaming arenas. You have to come early so you can enjoy all the rides
Dea Kamajaya;6 months ago;Very spacious. To go around and try all the rides, agility arenas and facilities, it might take a full 24 hours or 2 days and 1 night. I've been here twice but still not everything is fulfilled. Vehicles are provided for those who don't …
talitha lintang pertiwi;6 months ago;Very complete. And there's not enough time all day to explore everything carefully 😅 yesterday I just focused on the zoo and then went to the museum for a moment. I don't know anymore, this is really good, complete, and the collection is …
dona_channel;a month ago;"Wow, what a wow experience. Especially here with friends & family.
Recommended, the drive thru park is the best"
Galuh Riani;6 months ago;Buy the package ticket but don't go to Sweet Memories Selfie because it's already late in the afternoon and I'm tired of walking. The zoo is good, there are many types of animals and there are several explanations about the animals. The …
Hanifah Naji;4 months ago;One of the places that must be visited if we go to Malang. Family favorite travel. There are several places we can visit. There is a stone secret zoo, animal museum, music museum.
azamie;4 months ago;"It's really nice to use the tour at Jatim Park 2
For high seasons like school holidays, tickets are 170, it's better to buy via Traveloka right at the ticket office so you don't have to queue anymore, there …"
adhie pippen;4 months ago;The place is really natural... Lots of animals. Suitable for families who want to travel while introducing children to types of animals...
Egaa Ratnaa;2 weeks ago;it's really good, this is the first time I've been here with my husband haha, I'm a bit disappointed that there aren't any red pandas yet🥹 …
HDC PHOTO SPORT;6 months ago;"Finally JTP 2 again after 2 years have passed, unfortunately many of the animal exhibitions are empty.
I deliberately didn't go into the animal museum because it was so quiet and …"
Jeprat Jepret Asik;a month ago;When else will you be able to enjoy this many rides, you can enjoy the interesting and fun rides at Jatim Park 2
Riska Diana;7 months ago;A mandatory place to visit if you go to Batu. It's really worth it, God set aside money to go to this place. It's like buy one get a lot. There are lots of free rides, you can go to the animal museum too, see a large collection of …
Elfrida Bela;2 months ago;Bringing my son here was very happy, full of seeing animals and lots of play areas ☺️
priyo handoko;2 months ago;A vacation spot for children and can also be a medium for children's learning about animals and animal history.
Ragadisa Dyah;3 months ago;What's unfortunate is that now there are only season tickets, even though sometimes we only want to go to a certain location. My suggestion is that in the future you can pay by QRIS
Males Kerja;2 weeks ago;"Really worth it 😍
Clean, complete with animals. Very luvv …"
Octavia Hairin;5 months ago;"Prepare sturdy legs if you come here, because it's really spacious. If you bring a child, prepare a stroller.
Prepare a cool hat and fashion outfit because you will love taking fun photos …"
Donni Saparingga;4 months ago;Tourist attractions in Batu, there is education about animals, there are always lots of visitors, there is an animal museum and playgrounds for children
Aldias Sari;7 months ago;Very satisfied... Leaving at 10, coming home at 4, especially on Friday when there are very few visitors, try all the rides one by one without queuing, it feels like it's your own, my son also enjoys running without fear of getting lost 😅 lots of new areas are still being renovated, I've been here twice without getting bored …
Luktalinasari;5 months ago;The place is spacious, clean, really happy... yesterday I bought tickets for 4 destinations, but it was so wide that I could only go to two places, Batu Secret Zoo, and the animal museum... two eco green parks and Sweet Memories Selfie, I couldn't visit because I had already Tepar at first hahaha but it's fun
Atika Aulia;5 months ago;It's really cool... really suitable as a year-end holiday destination with your little ones. If you want to be satisfied playing, just come again hehe
Kiki Nyuluh;3 months ago;The place is spacious and clean, the air is cool, there are quite a lot of rides, suitable for all ages.
Ajeng Zazabilla;3 months ago;"I'll review the parking ticket:
Motorbike 5 thousand
Car 10 thousand …"
Fevriana Artharini;3 months ago;The animals are well looked after and chubby and stay at home for a long time, especially as animal lovers can enjoy interacting with the lemurs... Lovely
Syaiful Kahfi;3 months ago;I have a continuous ticket..so the review becomes one hehe..exciting abiiis..I've been here twice, the first time with friends, and wow...awesome..the second time with my extended family..daannn..exciting abiiis.. the kids love it..there …
Aliya Widi;7 months ago;Really worth it for those who want to bring small children or those who want to go on a zoo date with their loved one, there are lots of animals. But the road is quite far, so make sure if you want to come here, wear comfortable footwear! …
Deasy;4 months ago;A zoo with a different concept from zoos in general. Here the interaction distance with animals is quite close but safe. So there are lots of animals that we can give feeding animals to. Feeding prices are reasonable for a zoo this size. …
Hermien Sulistiyaningsih;4 months ago;A valuable experience, the collection of various animals. The place is fun, quite tired when walking.
Khamdi Lik Andik;4 days ago;A good family vacation spot, lots of rides, educational facilities, museums, clean cool air,
Desy Yanuarita Wulandari;2 months ago;For 1 ticket IDR 125 thousand weekdays, you can visit the Batu Secret Zoo, animal museum and selfie. Now at Batu Secret Zoo there are lots of rides... it's really fun
Yedida Adi;5 months ago;One of the main objectives compared to Jatim Parks 1 and 3. Apart from being an educational facility for children, the entrance ticket price is also cheap, especially with the addition of free access to the rides inside. Just prepare your …
Mami;6 months ago;The place is exciting, apart from the rides you can ride, there are various kinds of animals you can see. The HTM is quite cheap for the facilities available here. Suggestion, for friends who want to travel around and don't feel like …
Izzah Wandan;2 months ago;I really like it, the place is recommended for family trips, dates, or with friends... Really good place.
Betina Taurian;11 months ago;Amazing experience... It wasn't in vain that I collected money (husband's money to be precise hahahaha) for a holiday to Batu - Malang, one of which was to Jatim Park either 1, 2 or 3. This time I want to review Jatim Park 2. It's really …
Taufan Yudhistira;a month ago;The right place to play and learn. The right place for families. Awesome!
Marwah Zada;3 months ago;Even though it's on a weekday, it's still busy, but it's so busy when you enter the queue.
Rizky Yunestriasih;a week ago;Very good. Very complete. Suitable to visit with family. Good luck for the future
Ezza Grosir;4 months ago;Family tourism, lots of unique animals, never even seen before here.
Michael Epafras;6 days ago;The most complete animal educational tour! the arrangement of the animal cages is very good, not boring, neat, clean. the animal museum is very good. The ticket price is comparable to what we get. Go in from the counter opening time, and go …
Rismanto Effendi;8 months ago;Highly recommended for holidays with family and children. The place is cool, there are lots of animals, the rides are also many and complete. It can be a place of education for children as well as for healing. For those who are tired of …
Sahadewi widya putri;4 months ago;The best and cleanest zoo I have ever visited. Weekend 170 thousand but very, very worth it. All the exotic animals are here, not the animals we usually see, even rare animals that we usually only see in pictures. Really amazed. Even the …
Dimas W. N.;7 months ago;"Very nice place, clean and comfortable
It is very suitable for spending holidays with family, especially being able to introduce animals to children …"
Arny Wahyuni;3 months ago;Good, unfortunately payments for under 30 people must use cash.
Emma Christina;a month ago;I have been here three or four times in different periods of time, and in my opinion Jatim Park 2 is the best among the other Jatim Parks, and after all this time it is still very well maintained and the animals are also quite complete and …
wini afrianti;9 months ago;EXCITING.... ‼️ Order using the code XPWITHWINI on the Traveloka application and you can get a 20% discount for a maximum of 50 thousand for new accounts, 15% for old accounts for a maximum of 40 thousand, 1 account can be used 3 times with …
Amri K.;3 weeks ago;Worth it with the costs incurred with the facilities obtained. The family was happy
christian bony;2 weeks ago;"The place is extraordinary... The animal collection too. Wow...
The place and cleanliness are very well maintained
Bravo.."
mega savithri;9 months ago;"My child's first time here and my child is very happy.

Been here several years ago before covid. And it's really fun. It is indeed a …"
Dr 123;4 months ago;Tickets during the holiday season will be more expensive, there are no weekday tickets. But everything is ok.
Tatiana Raysha;5 months ago;The second time I've been here, I never get bored, but it's always fun and it's really addictive to go on holiday here, it's soooooo fun!!!! 🔥✨❤ …
Serra Serra;3 months ago;It's really nice to ride. Unfortunately, if it's rainy season, it's best to bring a coat or umbrella, okay?
Febriliana Endrikho;5 months ago;First experience of staying in a hotel with a jungle theme.. the kids were happy.. lucky to be able to get a direct view of the zoo..
dalita yeshie;8 months ago;"The concept is good, makes it comfortable to surround the area.
Weekday tickets 140 thousand
Weekend 170 thousand …"
yusron daqusehatmalang;a week ago;Of course, if you have small children, it's guaranteed not to come down and you'll be disappointed. Amazingggg
Antasari Wenny;9 months ago;Starting from 2014, the place is getting better and there is a lot of development. So the ticket price has gone up and you have to buy a package (jatimpark2+ecogreen+animal museum+sweetmemoriselfie) when the weekend comes. Even though just …
Anis Kamil;3 months ago;Impressive, comfortable, good arrangement so it doesn't get bored, and very spacious.
Gus Lora Fauzi 99;3 months ago;"The rides are very complete
Season ticket 140k …"
KitZforU Gaming;4 months ago;This tour is very suitable for children and families, you can bring food and drinks as long as you don't bring heavy food, the service is good, the animals are all healthy and active, the route is quite long, if you bring a toddler it is recommended to bring a stroller
Andi Makka;4 months ago;The tourist attractions in Batu are quite draining 😅, there are lots of animals and games that test your adrenaline …
Zhanty Susanty;6 months ago;The playground is quite complete, leaving from morning to evening before you can finish there. There is also a tree hotel and a very large parking area.
Ryu Kei;3 months ago;Suitable for children and adults, lots of interesting games you can play bosq, check out the fun here …
Evy Safitri;9 months ago;Spacious, lots of fun rides for children up to 12 years old, there are also not many for adults, the swimming pool is only for those under five years old, the animals are quite complete, the museum is also interesting, complete with …
Kartika Mayang;6 months ago;One of the favorite destinations when going to Batu. You should take a full day to explore every corner. Don't forget to wear sunscreen and/or a hat because there are lots of outdoor areas. …
Yuli Ana;a month ago;Wow, this looks like a really interesting zoo tour at the Bogor Safari Park... but yeah, it's really fun, hehe, that's not all.
Nurina Oktav;6 months ago;"The distance from the entrance to the exit for Eco Green Park is 3 km
If the secret zoo is 9 km
In my opinion, just for an eco green park, it's really good …"
Yoana Puspitorini;10 months ago;A place that must be on the list to visit for those with toddlers. It's really fun to holiday with the family here, the place is very spacious apart from seeing animals that have never been seen before, there is also a playground and …
Silka;4 months ago;The entrance ticket price for East Java Park 2 + Eco Park is 140 thousand. I think it's really worth it to be able to see cute animals that we've never seen before. It's fun.
Devita Agya;11 months ago;I came here on Sunday, got a promo ticket for Batu Secret Zoo + Eco Green Park + Animal Museum for 170 thousand, but because I bought it on Traveloka, I was charged 160 thousand. Here, on weekends, we don't sell tickets per place, so it's …
Wardi Adiansyah;3 months ago;"Educational tourist spot for children and parents,
Teach about types and varieties of animals,"
Dewi Anita;8 months ago;"You won't regret a holiday at Jatim Park 2.
The variety of animals here is quite complete, the route is really long, you have to wear sneakers so you don't get sore when you're walking around😁 …"
Elly Tyas;6 months ago;"Suitable for children... you can go on holiday while learning to know animals
Lots of exciting rides"
Sulistiyo Utomo;9 months ago;The design of the building is quite good, visitors are rotated from top to bottom in a circular path (storied) so that the land which is not very large turns out to be enough for a zoo. The animal collection is quite diverse, suitable for student education
Bilqis Firiya;a year ago;• had so much fun there! I think it's really worth it, the 170K season ticket can go around, exercise, burn fat because of Eco Green & Stone Secret Zoo, around 7km walk hahaha …
viken armirinta;4 months ago;The second time I came here there were improvements, what's more, there are bicycles so you don't get tired of walking and there are new rides to see animals using a car called drive thru...it's nice...
V_Romanisty Chanel (V_Romanisty);6 months ago;A suitable place for recreation with the family, also suitable for recreation for student children to broaden their knowledge about various animals and animals, introduce children from an early age to the origins of animals. …
Asroer Alaina;10 months ago;I didn't expect it to be this quiet when I visited here, there are so many varieties of animals here, even types that are rarely found in zoos usually. The place is very large, when I arrived it was already 11 o'clock in the afternoon, and …
rudi cahyono;6 days ago;the price on the spot is different from the price on the Traveloka app, it's cheaper on Traveloka 140 thousand... btw the same facilities on the app and on the spot... …
Nurul Atika;8 months ago;"I was really satisfied with my holiday to East Java Park 2, but it was a shame that when I got there there were several rides that were still under repair, but that's okay"" I was satisfied with the many things that were offered, coincidentally yesterday I bought a season ticket for the Eco Green Park and Wort It Animal Museum"
eka sumaryati;3 months ago;Really good. Lots of animals, no smells at all, facilities are okay, children's games are fun. Unfortunately we lack time to explore it all
Fitri Kusnindiarti;8 months ago;"Prepare your stamina to go around the area because of the vast area to see various animals from preserved animals to animals that live on land and in water.
For those who don't want to walk, you can rent an electric bicycle. …"
Anggreni Dian Kurniawati;a year ago;Jatim Park 2 consists of three main parts Batu Secret Zoo, Eco Park and Animal Museum. One direct ticket costs 160K on weekends to enjoy all parts of Jatim Park 2. If you come here with your family on the weekend, it is highly recommended …
Martinus Indra Hermawan;8 months ago;Entered here because I bought the Batu Secret Zoo season ticket which was worth it. You don't have to finish exploring all day here, so try to come early because at 6 pm it closes. The rides are really cool, try the haunted house, wave …
adi rahman;3 days ago;Very satisfied playing here, there are lots of chairs to rest, there are also lots of rides so the children feel happy. There are also lots of people selling, so don't be afraid of getting thirsty or hungry, the food court is also complete. Hopefully we can maintain service.
beni setya anjani;4 days ago;"one of the best zoos in Indonesia.
many types of animals, the place is comfortable and clean.
Very satisfied with a day in the JTP 2 area. …"
Cita Setya Utami;5 months ago;I have to come here again with my children. there's a lot of education. next time will come back again
Dwi Baex Hatie;2 months ago;I wanted to buy a ticket at the Secret Zoo but it opened at 1 o'clock, I had to buy tickets for several places, so because I was tired I only visited the Secret Zoo.
Rizki Andi;8 months ago;Jatim Park 2 is one of the popular tourist destinations in Batu City, East Java, Indonesia. This place offers a combination of a playground and educational entertainment rides that are suitable for visiting with family or friends.
audi regita;a month ago;Because I'm an animal lover, this is highly recommended for me🥹❤️❤️❤️ …
Eka Christiana;3 months ago;It's good that there are lots of animals, but it's not very suitable for children
Mbah Moel;3 months ago;Very good educational tourist spot, very spacious location, complete variety of animals from various countries, rides for children, complete food court.
puput fitriana dewi;9 months ago;I've been here 3 times and always satisfied. Especially those who brought their children yesterday were very happy 🫶 HTM 170K/person got 4 places but could only go to the Batu Secret Zoo and the Animal Museum because after that it was still Museum Angkut hahaha …
Ecocraft Puterikasih;9 months ago;Jatim Park 2 is suitable for family tourism, especially for children. Here you can learn about various animals and there are lots of really fun play areas. …
Vieka Alana;7 months ago;"Complete recreation area
Modern zoo, sweet memories selfie and animal museum.
Eco green park has a complete collection of birds and poultry. You can feed, …"
yudha ramon;7 months ago;Batu secret zoo is very nice and fun, the best zoo on the island of Java that I have visited, 11 12 with the Bogor safari park, there are play and swimming areas and rides, you can rent an electric scooter so you don't have to get tired of …
Vira Yuniar;3 months ago;It's really exciting, there are lots of different animals from outside & local, the staff is also very friendly. Oh, it's really fun! 😍 but it's a shame to go there when it's raining so I can't enjoy the rides huhu, next time I'll go there again hehe …
Naila F;11 months ago;Family friendly place... it's really worth the ticket price and you can enjoy the zoo, photo spots, rides, animal museum... basically you have to spend the whole day to enjoy all the places... for those with toddlers, here it's stroller friendly, there's space breastfeeding n changing diapers in certain spots..
Ima Hardiman;8 months ago;Batu City is really creative...Jakarta is lost...a small city with different tourism potential in every corner. Jatim Park 2 overall is beautiful, comfortable, spacious parking, easy access, and... the toilets are super cool, there is a …
Endang Rama;3 months ago;Drive thru park, educational tourism for children with an aesthetic view of the city of Batu Malang. It's a comfortable place to go for a walk, you don't need to get tired because you use an e-car, the price is right. Hopefully in the future there will be more playgrounds and animals
Desy Amelia;a year ago;a very extraordinary experience for our family, really good... 1 day wasn't enough to visit eco green, secret zoo, animal museum and sweet memories selfie, my legs weren't up to it either haaha... e bikes are 150 thousand/3 hours and 60 …
Fidya Nugraheni;9 months ago;"Jatim Park 2 is really a big place, so it's better to come before 12 o'clock because it will be more satisfying to explore all the places in JP 2
And at JP 2 there are also rides and lots of free rides that you can try"
Sandrine JB;a year ago;Even though not many people have holidays at the end of the year when it's not a red date, it turns out that Jatim Park 2 is still very busy. It's just still far away and can be enjoyed comfortably. …
Risalatul Amanah;2 weeks ago;The place is big, clean, neat and doesn't smell bad. For a ticket price of 125 thousand, the ride + zoo + animal museum is really good. Came on a weekday even though it was busy but not too crowded. …
Lukmanul Hakim;4 months ago;It is recommended to enter at 9.30 so you can complete the adventure because the route is very long. For those bringing toddlers, you can bring a pushbike/stroller and umbrella so you don't get too hot or get caught in the rain.
Puguh Dwi Raharjo;11 months ago;Good, rare and unique animals are here, the area is very wide, tickets are required for all the rides (4 rides) but to get to 1 location at the secret zoo is quite far and tiring
Tamu Negara;a year ago;"Hi gabut friends, reviewer gabut is back here again

Since I'm really unemployed this time I will review my visit to Jatim Park 2 …"
Trsno Dwynto;2 months ago;"Second time coming here.
Always amazed by the many animals in the secret zoo."
fenny;5 months ago;This educational tour is really suitable for children. Many games are also free in it. The facilities are also complete and good.
Fanie Lissa;a year ago;Jatim Park 2 is divided into 4, there is a zoo, museum, bird park, and photo spots. One day isn't enough to cover Jatim Park 2 if you want to go to all of them, because the area is so large. But if you're a fast team that doesn't enjoy it, …
w_rih drajat91;10 months ago;"Very large tourist area. Complete animal collections starting from Eco Green Park, Batu Secret Zoo, and the Animal Museum.
Can increase children's knowledge about types of animals. There are also game …"
Caksand RA;7 months ago;The park is spacious, there are lots of rides, it can also be used as a means of education for visitors, both children and adults
SAEPUL ANWAR;9 months ago;Enter here at 10 am and return home at 4 pm. It's great. Can be educational for children. The place uses a concept that suits the animal's habitat. Both day animals and night animals. Tickets are 170 thousand / person, rides are free.
Ressy Susanti;11 months ago;Buy bundling tickets at Traveloka, the price is around 155 thousand and includes entrance tickets to Batu secret zoo and Eco green park, but yesterday I just stopped by Batu secret zoo because I was already tired, the place is really wide, …
Wahyu Rini;4 months ago;Good, can introduce children to various kinds of animals. Suitable for education
Melisa Yulianggara;a year ago;One of the tourist attractions that you must visit when playing Malang. There's a zoo here so it's perfect for bringing the kids here. It's not just the animals, there's a play area too and it's complete... the kids' favorite thing is that …
Gloria Bayutiara;4 months ago;"Cool, luxurious, clean, doesn't smell...
Affordable entrance ticket.
The place to eat is delicious"
Fahreza Haqie;6 months ago;An educational tourist spot with a very complete animal collection. It takes all day to visit all the cages and rides.
rendy irawadi;11 months ago;spacious and fun to take your children on a trip to get to know the animals and interact directly with them, both live and preserved animals, the tickets are not too expensive for bundling 4 rides at once, but you need to prepare time, energy and a good mood when inviting small children come here
Alinda Putri;a week ago;A suitable place for animal education for children, apart from learning they can also play on exciting rides. The place is large so you need extra energy
Nadia Naura Syifa;4 months ago;the place is really nice, the air is cool, it tends to be cold for me (because I'm from the north coast)😁😁 …
Nanang Tri sulistyo;10 months ago;"June 18-20, 2023

Staycation with family at Tree Inn …"
Hana Nia;4 months ago;"Zoo close to Malang city
Kids friendly
Lots of rides …"
Freddy Djohandy;3 weeks ago;Great, there are lots of interesting things here, if you go on holiday you can come here again
hophop siahaan;a month ago;The rides are not optimal, the prices are maximum, apparently because it is famous, the quality has lots of discounts.
Anggara Kahfi;6 months ago;Good, advice for those who bring babies to use a stroller when walking so they don't get tired
Gigih Priambodo;7 months ago;After taking part in the 2017 BTS100 event in the 70km category, the next day we were immediately invited to go for a walk to Jatim Park Zoo, which is quite large and requires walking 😅, so it was difficult to walk because the leg muscles …
Javanicca;a year ago;Initially, you told me that the right time to enter was early in the morning so that you wouldn't leave too late in the afternoon. BTW, we entered at 12 noon, we didn't think that if it was so wide, maybe it would be like that, AE, and it …
RAKHMAH HARUM KARISMA;10 months ago;Just arrived on Monday and during high season. Htm 170k. If you are 85cm tall, you will get an entry ticket. You cannot bring food from outside. The ebike rental price is 150/3 hours/ebike which can be rented after about 45 minutes of …
Tonny L;a year ago;The place is spacious, it can take 3 hours to get around, recommended for a family holiday, very suitable for educating children, the animals are quite complete, there are lots of games and it's also free, come here on weekdays so it's not that crowded with visitors.
Noviadi Suryo;a year ago;"Good experience for those who like animals.

The area is very large, and the paths have been arranged in such a way that …"
27. Nur Muhammad Fahrul;3 months ago;Worth It Place Only The Food Inside Is Expensive.
Fajar Analis;2 months ago;A nice and comfortable recreation place with family or friends
Rizki Ilham;a year ago;A very interesting educational and recreational facility to visit, in this area there is a kind of zoo in which there are unique, rare and interesting animals. Then, after we have finished visiting the area containing these animals, we can …
Satriyo Arif Wicaksono;a year ago;An exciting place to vacation with the family here is in the Batu Malang area, close to BNS, also suitable for teaching children about the world of animals and the environment. …
noldy harys;9 months ago;The area is really wide... what's exciting is the animal museum in front of which there is a giant elephant... a suggestion for Jatimpark2 management is there is an electric moped that can be used around all the rides...
baby marella lalita;2 days ago;It's really exciting, there are more rides, the first time I came here 10 years ago I was still single, I came here again when I had a family and I really wanted to take my husband and children here again because it was really that fun 🥰 …
